Time [s], Analyzer Name, Decoded Protocol Result
0.000018125000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.020025791666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.040021416666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.060029083333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.080024750000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.100020375000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.120028041666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.140023708333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.160019333333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.180027000000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.200022625000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.220030291666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.240025958333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.260021583333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.280029250000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.300024875000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.320020541666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.340028208333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.360023833333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.380031500000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.400027166666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.420022791666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.440030458333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.460026083333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.480021750000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.500029416666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.520025041666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.540032708333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.560028333333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.580024000000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.600031666666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.620027291666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.640022916666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.660030625000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.680026250000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.700033916666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.720029541666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.740025208333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.760032875000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.780028500000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.800024125000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.820031791666667,SPI,MOSI: 0b  1111  1111  1111  1111
0.840027458333333,SPI,MOSI: 0b  1111  1111  1111  1111
0.860035125000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.880030750000000,SPI,MOSI: 0b  1111  1111  1111  1111
0.900026375000000,SPI,MOSI: 0b  1111  1111  1111  1111
