Time [s], Analyzer Name, Decoded Protocol Result
2.540030041666667,SPI,MOSI: 0xFFFF
2.560037708333333,SPI,MOSI: 0xFFFF
2.580033333333333,SPI,MOSI: 0xFFFF
2.600029000000000,SPI,MOSI: 0xFFFF
2.620036666666667,SPI,MOSI: 0xFFFF
2.640032291666667,SPI,MOSI: 0xFFFF
2.660027958333333,SPI,MOSI: 0xFFFF
2.680035625000000,SPI,MOSI: 0xFFFF
2.700031250000000,SPI,MOSI: 0xFFFF
2.720038916666667,SPI,MOSI: 0xFFFF
2.740034583333333,SPI,MOSI: 0xFFFF
2.760030208333333,SPI,MOSI: 0xFFFF
2.780037875000000,SPI,MOSI: 0xFFFF
2.800033541666667,SPI,MOSI: 0xFFFF
2.820029166666667,SPI,MOSI: 0xFFFF
2.840036833333333,SPI,MOSI: 0xFFFF
2.860032458333333,SPI,MOSI: 0xFFFF
2.880040166666667,SPI,MOSI: 0xFFFF
2.900035791666667,SPI,MOSI: 0xFFFF
2.920031416666667,SPI,MOSI: 0xFFFF
2.940039083333333,SPI,MOSI: 0xFFFF
2.960034750000000,SPI,MOSI: 0xFFFF
2.980030375000000,SPI,MOSI: 0xFFFF
3.000038041666667,SPI,MOSI: 0xFFFF
3.020033708333334,SPI,MOSI: 0xFFFF
3.040041375000000,SPI,MOSI: 0xFFFF
3.060037000000000,SPI,MOSI: 0xFFFF
3.080032666666667,SPI,MOSI: 0xFFFF
3.100040333333333,SPI,MOSI: 0xFFFF
3.120035958333333,SPI,MOSI: 0xFFFF
3.140031625000000,SPI,MOSI: 0xFFFF
3.160039291666667,SPI,MOSI: 0xFFFF
3.180034916666667,SPI,MOSI: 0xFFFF
3.200042583333333,SPI,MOSI: 0xFFFF
3.220038250000000,SPI,MOSI: 0xFFFF
3.240033875000000,SPI,MOSI: 0xFFFF
3.260041541666667,SPI,MOSI: 0xFFFF
3.280037166666667,SPI,MOSI: 0xFFFF
3.300032833333333,SPI,MOSI: 0xFFFF
3.320040500000000,SPI,MOSI: 0xFFFF
3.340036125000000,SPI,MOSI: 0xFFFF
3.360043791666667,SPI,MOSI: 0xFFFF
3.380039458333334,SPI,MOSI: 0xFFFF
3.400035083333333,SPI,MOSI: 0xFFFF
3.420042750000000,SPI,MOSI: 0xFFFF
3.440038416666667,SPI,MOSI: 0xFFFF
3.460034041666667,SPI,MOSI: 0xFFFF
3.480041708333333,SPI,MOSI: 0xFFFF
3.500037375000000,SPI,MOSI: 0xFFFF
3.520045041666667,SPI,MOSI: 0xFFFF
3.540040666666667,SPI,MOSI: 0xFFFF
3.560036333333333,SPI,MOSI: 0xFFFF
3.580044000000000,SPI,MOSI: 0xFFFF
3.600039625000000,SPI,MOSI: 0xFFFF
3.620035250000000,SPI,MOSI: 0xFFFF
3.640042958333333,SPI,MOSI: 0xFFFF
3.660038583333333,SPI,MOSI: 0xFFFF
3.680046250000000,SPI,MOSI: 0xFFFF
3.700041875000000,SPI,MOSI: 0xFFFF
